CodigoNave,Viaje,Rumbo,CodigoPaisCarga,CodigoPuertoCarga,CodigoPaisDesCarga,CodigoPuertoDesCarga,fechaSalida,fechaLlegada,ClaveCarga,ClaveDesCarga,CodigoPuertoCargaAntiguo,CodigoPuertoDesCargaAntiguo
SDBR,1503,E,CN,SNZN,CN,SNGI,2024-04-23,2024-04-27,SZX|CN,SHA|CN,SZX,SHA
SDBR,1503,E,KR,BSAN,MX,MANO1,2024-04-30,2024-05-19,PUS|KR,ZLO|MX,PUS,ZLO
SDBR,1503,E,MX,MANO1,PE,CLLO,2024-05-19,2024-05-26,ZLO|MX,CLL|PE,ZLO,CLL
SDBR,1503,E,TW,KLUG,CN,SNZN,2024-04-21,2024-04-23,KEL|TW,SZX|CN,KEL,SZX
SDBR,610,E,CN,QGDO,PE,CLLO,2022-07-21,2022-08-21,TAO|CN,CLL|PE,TAO,CLL
SDBR,610,E,HK,HGKG,CN,QGDO,2022-07-18,2022-07-21,HKG|HK,TAO|CN,HKG,TAO
SDBR,810,E,CN,SNGI,KR,BSAN,2022-12-26,2022-12-29,SHA|CN,PUS|KR,SHA,PUS
SDBR,810,E,CN,SNZN,TW,KLUG,2022-12-20,2022-12-22,SZX|CN,KEL|TW,SZX,KEL
SDBR,810,E,HK,HGKG,CN,SNZN,2022-12-19,2022-12-20,HKG|HK,SZX|CN,HKG,SZX
SDBR,810,E,KR,BSAN,PE,CLLO,2022-12-29,2023-01-22,PUS|KR,CLL|PE,PUS,CLL
SDBR,810,E,TW,KLUG,CN,SNGI,2022-12-22,2022-12-26,KEL|TW,SHA|CN,KEL,SHA
SDBR,810,W,PE,CLLO,US,LELA,2023-02-10,2023-02-24,CLL|PE,LAX|US,CLL,LAX
SDBR,810,W,US,LELA,PE,CLLO,2023-01-26,2023-02-09,LAX|US,CLL|PE,LAX,CLL
SDBR,910,E,CN,XAMN,KR,BSAN,2023-03-08,2023-03-15,XMN|CN,PUS|KR,XMN,PUS
SDBR,910,E,HK,HGKG,CN,XAMN,2023-03-07,2023-03-07,HKG|HK,XMN|CN,HKG,XMN
SDBR,910,E,KR,BSAN,PE,CLLO,2023-03-15,2023-04-09,PUS|KR,CLL|PE,PUS,CLL
SDBR,910,E,TW,KLUG,HK,HGKG,2023-03-04,2023-03-06,KEL|TW,HKG|HK,KEL,HKG
SDBR,1010,E,CN,SNZN,KR,BSAN,2023-05-23,2023-05-29,SZX|CN,PUS|KR,SZX,PUS
SDBR,1010,E,HK,HGKG,CN,SNZN,2023-05-22,2023-05-23,HKG|HK,SZX|CN,HKG,SZX
SDBR,1010,E,KR,BSAN,MX,MANO1,2023-05-30,2023-06-18,PUS|KR,ZLO|MX,PUS,ZLO
