CodigoPuerto,CodigoPais,NombrePuerto,TipoTransporte,EsPuertoLocal,NombreAntiguo,CodAntiguo
LCCE,IT,LECCE,M,0,LECCE,LCC
CRUA,ES,CORUÑA,M,0,CORUÑA,LCG
LHAG,TH,LAEMCHABANG,M,0,LAEM CHABANG,LCH
LCCO,IT,LECCO,M,0,LECCO,LCO
LCCA,IT,LUCCA,M,0,LUCCA,LCV
LAVE,FR,LEHAVRE,M,0,LE HAVRE,LEH
AERA,ES,ALMERIA,M,0,ALMERIA,LEI
LXOS,PT,LEIXOES,M,0,LEIXOES,LEI
LPZG,DE,LEIPZIG,M,0,LEIPZIG,LEJ
LEON,ES,LEON,M,0,LEON,LEN
LEON1,MX,LEON,M,0,LEON,LEN
LRKN,DE,LEVERKUSEN,M,0,LEVERKUSEN,LEV
LVIN,NZ,LEVIN,M,0,LEVIN,LEV
LGFG,CN,LANGFANG,M,0,LANGFANG,LFG
LOME,TG,LOME,M,0,LOME,LFW
LUGO,ES,LUGO,M,0,LUGO,LGO
LHOE,PK,LAHORE,M,0,LAHORE,LHE
LHTI,FI,LAHTI,M,0,LAHTI,LHI
